,date,team_home,team_away,score,score_home,score_away,penalties
0,2000-09-02,Belgium,Croatia,0:0,0,0,0:
1,2000-06-19,Belgium,Turkey,0:2,0,2,0:
2,2000-06-10,Belgium,Sweden,2:1,2,1,2:
3,2000-03-29,Belgium,Netherlands,2:2,2,2,2:
4,2000-02-23,Belgium,Portugal,1:1,1,1,1:
5,2001-11-10,Belgium,Czech Republic,1:0,1,0,1:
6,2001-09-05,Belgium,Scotland,2:0,2,0,2:
7,2002-06-14,Belgium,Russia,3:2,3,2,3:
8,2002-04-17,Belgium,Slovakia,1:1,1,1,1:
9,2003-09-10,Belgium,Croatia,2:1,2,1,2:
10,2003-08-20,Belgium,Netherlands,1:1,1,1,1:
11,2003-04-30,Belgium,Poland,3:1,3,1,3:
12,2004-04-28,Belgium,Turkey,2:3,2,3,2:
13,2004-02-18,Belgium,France,0:2,0,2,0:
14,2005-10-08,Belgium,Spain,0:2,0,2,0:
15,2006-11-15,Belgium,Poland,0:1,0,1,0:
16,2006-05-24,Belgium,Turkey,3:3,3,3,3:
17,2007-10-13,Belgium,Finland,0:0,0,0,0:
18,2007-06-02,Belgium,Portugal,1:2,1,2,1:
19,2007-02-07,Belgium,Czech Republic,0:2,0,2,0:
20,2008-10-15,Belgium,Spain,1:2,1,2,1:
21,2009-11-14,Belgium,Hungary,3:0,3,0,3:
22,2009-10-10,Belgium,Turkey,2:0,2,0,2:
23,2010-10-12,Belgium,Austria,4:4,4,4,4:
24,2010-09-03,Belgium,Germany,0:1,0,1,0:
25,2010-03-03,Belgium,Croatia,0:1,0,1,0:
26,2011-06-03,Belgium,Turkey,1:1,1,1,1:
27,2011-02-09,Belgium,Finland,1:1,1,1,1:
28,2012-10-16,Belgium,Scotland,2:0,2,0,2:
29,2012-09-11,Belgium,Croatia,1:1,1,1,1:
30,2012-08-15,Belgium,Netherlands,4:2,4,2,4:
31,2013-10-15,Belgium,Wales,1:1,1,1,1:
32,2013-08-14,Belgium,France,0:0,0,0,0:
33,2013-03-26,Belgium,North Macedonia,1:0,1,0,1:
34,2013-02-06,Belgium,Slovakia,2:1,2,1,2:
35,2014-11-16,Belgium,Wales,0:0,0,0,0:
36,2014-06-22,Belgium,Russia,1:0,1,0,1:
37,2015-11-13,Belgium,Italy,3:1,3,1,3:
38,2016-09-01,Belgium,Spain,0:2,0,2,0:
39,2016-06-13,Belgium,Italy,0:2,0,2,0:
40,2016-06-01,Belgium,Finland,1:1,1,1,1:
41,2017-06-05,Belgium,Czech Republic,2:1,2,1,2:
42,2018-10-16,Belgium,Netherlands,1:1,1,1,1:
43,2018-10-12,Belgium,Switzerland,2:1,2,1,2:
44,2018-07-14,Belgium,England,2:0,2,0,2:
45,2018-06-02,Belgium,Portugal,0:0,0,0,0:
46,2019-06-11,Belgium,Scotland,3:0,3,0,3:
47,2019-03-21,Belgium,Russia,3:1,3,1,3:
48,2020-11-18,Belgium,Denmark,4:2,4,2,4:
49,2020-11-15,Belgium,England,2:0,2,0,2:
50,2020-11-11,Belgium,Switzerland,2:1,2,1,2:
51,2021-06-06,Belgium,Croatia,1:0,1,0,1:
52,2021-03-24,Belgium,Wales,3:1,3,1,3:
53,2000-11-15,Italy,England,1:0,1,0,1:
54,2000-06-19,Italy,Sweden,2:1,2,1,2:
55,2000-06-14,Italy,Belgium,2:0,2,0,2:
56,2000-04-26,Italy,Portugal,2:0,2,0,2:
57,2000-02-23,Italy,Sweden,1:0,1,0,1:
58,2001-10-06,Italy,Hungary,1:0,1,0,1:
59,2002-11-20,Italy,Turkey,1:1,1,1,1:
60,2002-06-08,Italy,Croatia,1:2,1,2,1:
61,2003-09-06,Italy,Wales,4:0,4,0,4:
62,2003-03-29,Italy,Finland,2:0,2,0,2:
63,2003-02-12,Italy,Portugal,1:0,1,0,1:
64,2004-11-17,Italy,Finland,1:0,1,0,1:
65,2004-06-18,Italy,Sweden,1:1,1,1,1:
66,2004-04-28,Italy,Spain,1:1,1,1,1:
67,2004-02-18,Italy,Czech Republic,2:2,2,2,2:
68,2005-03-26,Italy,Scotland,2:0,2,0,2:
69,2005-02-09,Italy,Russia,2:0,2,0,2:
70,2006-11-15,Italy,Turkey,1:1,1,1,1:
71,2006-10-07,Italy,Ukraine,2:0,2,0,2:
72,2006-08-16,Italy,Croatia,0:2,0,2,0:
73,2006-07-09,Italy,France,1:1 (5:3),1,1,5:3
74,2006-06-30,Italy,Ukraine,3:0,3,0,3:
75,2006-06-02,Italy,Ukraine,0:0,0,0,0:
76,2006-03-01,Italy,Germany,4:1,4,1,4:
77,2007-09-08,Italy,France,0:0,0,0,0:
78,2007-03-28,Italy,Scotland,2:0,2,0,2:
79,2008-08-20,Italy,Austria,2:2,2,2,2:
80,2008-05-30,Italy,Belgium,3:1,3,1,3:
81,2008-02-06,Italy,Portugal,3:1,3,1,3:
82,2009-11-18,Italy,Sweden,1:0,1,0,1:
83,2009-11-14,Italy,Netherlands,0:0,0,0,0:
84,2011-08-10,Italy,Spain,2:1,2,1,2:
85,2012-11-14,Italy,France,1:2,1,2,1:
86,2012-10-16,Italy,Denmark,3:1,3,1,3:
87,2012-08-15,Italy,England,1:2,1,2,1:
88,2012-06-14,Italy,Croatia,1:1,1,1,1:
89,2012-06-01,Italy,Russia,0:3,0,3,0:
90,2013-11-15,Italy,Germany,1:1,1,1,1:
91,2013-09-10,Italy,Czech Republic,2:1,2,1,2:
92,2014-11-16,Italy,Croatia,1:1,1,1,1:
93,2014-09-04,Italy,Netherlands,2:0,2,0,2:
94,2015-06-16,Italy,Portugal,0:1,0,1,0:
95,2015-03-31,Italy,England,1:1,1,1,1:
96,2016-11-15,Italy,Germany,0:0,0,0,0:
97,2016-10-06,Italy,Spain,1:1,1,1,1:
98,2016-09-01,Italy,France,1:3,1,3,1:
99,2016-06-27,Italy,Spain,2:0,2,0,2:
100,2016-06-17,Italy,Sweden,1:0,1,0,1:
101,2016-06-06,Italy,Finland,2:0,2,0,2:
102,2016-05-29,Italy,Scotland,1:0,1,0,1:
103,2016-03-24,Italy,Spain,1:1,1,1,1:
104,2017-11-13,Italy,Sweden,0:0,0,0,0:
105,2017-10-06,Italy,North Macedonia,1:1,1,1,1:
106,2018-11-17,Italy,Portugal,0:0,0,0,0:
107,2018-10-10,Italy,Ukraine,1:1,1,1,1:
108,2018-09-07,Italy,Poland,1:1,1,1,1:
109,2018-06-04,Italy,Netherlands,1:1,1,1,1:
110,2019-03-23,Italy,Finland,2:0,2,0,2:
111,2020-11-15,Italy,Poland,2:0,2,0,2:
112,2020-10-14,Italy,Netherlands,1:1,1,1,1:
113,2021-06-04,Italy,Czech Republic,4:0,4,0,4:
114,2000-05-31,Russia,Slovakia,1:1,1,1,1:
115,2001-10-06,Russia,Switzerland,4:0,4,0,4:
116,2002-08-21,Russia,Sweden,1:1,1,1,1:
117,2003-11-15,Russia,Wales,0:0,0,0,0:
118,2003-09-10,Russia,Switzerland,4:1,4,1,4:
119,2004-09-04,Russia,Slovakia,1:1,1,1,1:
120,2005-09-07,Russia,Portugal,0:0,0,0,0:
121,2006-09-06,Russia,Croatia,0:0,0,0,0:
122,2007-10-17,Russia,England,2:1,2,1,2:
123,2007-09-08,Russia,North Macedonia,3:0,3,0,3:
124,2007-08-22,Russia,Poland,2:2,2,2,2:
125,2008-10-15,Russia,Finland,3:0,3,0,3:
126,2008-09-10,Russia,Wales,2:1,2,1,2:
127,2008-08-20,Russia,Netherlands,1:1,1,1,1:
128,2008-06-26,Russia,Spain,0:3,0,3,0:
129,2008-06-18,Russia,Sweden,2:0,2,0,2:
130,2009-10-10,Russia,Germany,0:1,0,1,0:
131,2010-11-17,Russia,Belgium,0:2,0,2,0:
