,name,group,url_nft
0,Belgium,,https://www.national-football-teams.com/country/20/<year>/Belgium.html
1,Italy,,https://www.national-football-teams.com/country/92/<year>/Italy.html
2,Russia,,https://www.national-football-teams.com/country/152/<year>/Russia.html
3,Poland,,https://www.national-football-teams.com/country/147/<year>/Poland.html
4,Ukraine,,https://www.national-football-teams.com/country/196/<year>/Ukraine.html
5,Spain,,https://www.national-football-teams.com/country/174/<year>/Spain.html
6,France,,https://www.national-football-teams.com/country/67/<year>/France.html
7,Turkey,,https://www.national-football-teams.com/country/192/<year>/Turkey.html
8,England,,https://www.national-football-teams.com/country/59/<year>/England.html
9,Czech Republic,,https://www.national-football-teams.com/country/50/<year>/Czech_Republic.html
10,Finland,,https://www.national-football-teams.com/country/66/<year>/Finland.html
11,Sweden,,https://www.national-football-teams.com/country/179/<year>/Sweden.html
12,Croatia,,https://www.national-football-teams.com/country/47/<year>/Croatia.html
13,Austria,,https://www.national-football-teams.com/country/13/<year>/Austria.html
14,Netherlands,,https://www.national-football-teams.com/country/129/<year>/Netherlands.html
15,Germany,,https://www.national-football-teams.com/country/71/<year>/Germany.html
16,Portugal,,https://www.national-football-teams.com/country/148/<year>/Portugal.html
17,Switzerland,,https://www.national-football-teams.com/country/180/<year>/Switzerland.html
18,Denmark,,https://www.national-football-teams.com/country/51/<year>/Denmark.html
19,Wales,,https://www.national-football-teams.com/country/205/<year>/Wales.html
20,North Macedonia,,https://www.national-football-teams.com/country/111/<year>/North_Macedonia.html
21,Hungary,,https://www.national-football-teams.com/country/84/<year>/Hungary.html
22,Slovakia,,https://www.national-football-teams.com/country/168/<year>/Slovakia.html
23,Scotland,,https://www.national-football-teams.com/country/162/<year>/Scotland.html
